trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
87,True,"{'a': 0, 'e': 0}",20,5,19.471607800585467,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,True,"{'a': 0, 'e': 0}",20,9,18.906112325906115,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,True,"{'a': 0, 'e': 0}",30,9,12.900594282063631,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,True,"{'a': 0, 'e': 0}",20,3,22.082937360591334,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,True,"{'a': 0, 'e': 0}",20,2,6.557411077734713,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
92,True,"{'a': 0, 'e': 0}",20,2,21.563982155213417,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,True,"{'a': 0, 'e': 0}",20,16,7.742808455294261,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,True,"{'a': 0, 'e': 0}",25,9,27.279303850013623,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,True,"{'a': 0, 'e': 0}",20,13,11.657215299981438,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,True,"{'a': 0, 'e': 0}",20,0,29.22195412927828,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
97,True,"{'a': 0, 'e': 0}",30,4,29.872251793103416,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,True,"{'a': 0, 'e': 0}",30,5,35.78245198929989,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,True,"{'a': 0, 'e': 0}",30,16,19.72983453449593,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,True,"{'a': 0, 'e': 0}",20,0,16.536986674810954,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
